City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Lamar,US,83.86,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
405,Monrovia,LR,79.16,overcast clouds,6.3005,-10.7969,Sunset Inn
409,Umm Lajj,SA,78.04,clear sky,25.0213,37.2685,Moon light Furnished Units
414,Nouakchott,MR,81.12,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
419,Sinnamary,GF,80.02,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
420,Boyolangu,ID,75.76,overcast clouds,-8.1181,111.8935,Yos ega cv
425,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
429,Bahia Blanca,AR,79.2,clear sky,-38.7196,-62.2724,Hotel Argos
437,Hervey Bay,AU,76.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
439,Doctor Arroyo,MX,77.94,overcast clouds,23.6667,-100.1833,Hotel Plaza
444,Lagos,NG,82.72,scattered clouds,6.5833,3.75,
445,Tomatlan,MX,89.98,overcast clouds,19.9333,-105.25,El Salvial
448,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
450,Kabwe,ZM,82.22,broken clouds,-14.4469,28.4464,Tuskers
455,San Fernando,PH,78.82,overcast clouds,15.0286,120.6898,Maharlika Hostel
462,Lhokseumawe,ID,78.03,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
465,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
466,Aswan,EG,76.84,clear sky,24.0934,32.907,Nuba Nile
470,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
473,Ambilobe,MG,78.19,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
475,Lafiagi,NG,81.1,broken clouds,8.8667,5.4167,Bus group international
480,Morondava,MG,76.06,clear sky,-20.2833,44.2833,La Case Bambou
483,Savalou,BJ,78.17,light rain,7.9281,1.9756,Hotel F&F
492,Nanakuli,US,78.75,broken clouds,21.3906,-158.1547,Camp Pālehua
494,Tevaitoa,PF,76.73,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
498,Babati,TZ,79.02,overcast clouds,-4.2167,35.75,White Rose Lodge
502,Atambua,ID,75.85,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
506,Jamame,SO,77.74,broken clouds,0.0722,42.7506,
507,Agadez,NE,83.5,clear sky,19.75,10.25,
510,Bubaque,GW,82.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
511,Mana,GF,81.41,moderate rain,5.6592,-53.7767,LE SAMANA
517,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
518,Abu Zabad,SD,88.77,few clouds,12.35,29.25,حامد محمد نور
519,Moron,AR,79.02,clear sky,-34.6534,-58.6198,Hotel Morón
520,Nosy Varika,MG,76.77,broken clouds,-20.5833,48.5333,Hotel Volazara
521,Abonnema,NG,84.49,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
524,Soure,BR,84.9,clear sky,-0.7167,-48.5233,Casarão da Amazônia
526,Moctezuma,MX,82.27,clear sky,29.8,-109.6667,Hotel Lobohombo
527,Honiara,SB,77.4,clear sky,-9.4333,159.95,Heritage Park Hotel
528,Xuddur,SO,79.95,scattered clouds,4.1213,43.8894,Banjanay Hotel
531,Petersburg,US,78.71,clear sky,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
533,Kahului,US,80.62,light rain,20.8947,-156.47,Maui Seaside Hotel
534,Jupiter,US,85.05,overcast clouds,26.9342,-80.0942,Jupiter Beach Resort & Spa
535,Miandrivazo,MG,82.04,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
536,La Romana,DO,88.16,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
542,Onverwacht,SR,78.8,thunderstorm,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
545,Bonthe,SL,79.63,light rain,7.5264,-12.505,Bonthe Holiday Village
548,Kavaratti,IN,82.0,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
549,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
551,Etchoropo,MX,84.58,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
554,Bhag,PK,76.73,clear sky,29.0415,67.8239,Bukhari hotl
555,Sola,VU,80.64,few clouds,-13.8833,167.55,Leumerus Bungalows
561,Conceicao Do Araguaia,BR,86.65,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
563,Chirongui,YT,80.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
570,Abu Dhabi,AE,85.19,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
574,Lebanon,US,80.13,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
576,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
578,Poso,ID,76.41,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
580,Santa Rita,BR,84.87,few clouds,-7.1139,-34.9781,Infinity Motel
582,Conway,US,85.62,broken clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
583,Jacmel,HT,84.04,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
584,Katobu,ID,75.15,overcast clouds,-4.9408,122.5276,La Ode Husein
591,Lufilufi,WS,82.18,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
596,Kamakwie,SL,77.02,light rain,9.5,-12.2333,
600,Padang,ID,75.7,light rain,-0.9492,100.3543,Mercure Padang
601,Lipari,IT,75.33,light rain,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
606,Catuday,PH,78.93,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
610,Porto Belo,BR,75.63,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
615,Eyl,SO,79.05,overcast clouds,7.9803,49.8164,Amiin Hotel
620,San Antonio,US,85.89,haze,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
622,Kieta,PG,77.68,few clouds,-6.2167,155.6333,Uruna Bay Retreat
636,Mount Pleasant,US,82.11,clear sky,32.7941,-79.8626,Best Western Patriots Point
639,Del Pilar,PH,78.85,overcast clouds,15.0333,120.7,Maharlika Hostel
646,Manzanillo,CU,88.86,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
648,Ridgecrest,US,76.3,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
649,Ailigandi,PA,85.42,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
654,Paragould,US,83.08,clear sky,36.0584,-90.4973,Linwood Motel
656,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
657,Diamantino,BR,75.25,moderate rain,-14.4086,-56.4461,Hotel Delta
658,Mahibadhoo,MV,82.62,scattered clouds,3.7833,72.9667,Omadhoo Inn
665,Nauta,PE,89.42,moderate rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
669,Bilma,NE,87.51,clear sky,18.6853,12.9164,Expeditions Ténére voyages
671,Oussouye,SN,86.18,light rain,12.485,-16.5469,Auberge du Routard
675,Manavalakurichi,IN,78.89,moderate rain,8.1333,77.3,Udaya Boys Hostel
